Category,CoinSymbol,CoinName,addORremove
"Infrastructure",BLUR,Blur,add
"CEX","MMX","MMX",add
"Cat-Themed","1CAT","Bitcoin Cats",add
"Meme","1CAT","Bitcoin Cats",add
"High FDV","TIA","Celestia",add
"High FDV","SUI","Sui",add
"High FDV","IO","io.net",add
"High FDV","SEI","Sei",add
"High FDV","APT","Aptos",add
"High FDV","ENA","Ethena",add
"High FDV","JUP","Jupiter",add
"High FDV","ONDO","Ondo",add


"High FDV","ARB","
"High FDV","OP","




























